Linktyp:,QsLink
Triggerwort:,Anzahl der Triggerungen:
on,75
At,6
to,2
In,22
next to,10
away from,4
around,4
where,68
after,1
in,228
on top of,1
inside of,1
On,4
in front of,1
along,14
at,54
away,2
inhabited,1
apart from,1
far from,3
coiling up,1
of,44
up,1
further,1
under,2
with,15
In front of,1
over,2
between,5
full of,10
behind,1
into,1
about,1
outside,2
Along,1
covered,5
beside,1
through,4
from,3
has,2
directly beneath,1
up to,1
Down,1
stocked,1
covering,1
restricted,1
across,2
overlooking,2
including,3
surrounded,2
inside,4
surrounding,3
on top,2
upon,1
contains,1
atop,2
out of,1
filled,3
Everywhere,1
for,1
apart,1
line,1
packed,1
afar,1
houses,11
against,1
part         of,1
bordering,1
connects,4
adjacent to,1
packed with,1
surmounted,1
house,1
contain,4
""
Linktyp:,OsLink
Triggerwort:,Anzahl der Triggerungen:
southwest,1
toward,1
next to,12
on top of,1
on,45
in front of,2
On,2
backwards,1
Down,2
along,14
north,2
up,5
to,3
to SW,1
to the west from,1
coiling up,1
under,3
around,3
in that direction,1
In front of,1
on your left,1
over,7
between,8
behind,3
in the direction to,1
northeast,1
on the right,1
Along,1
covered,5
south of,2
beside,1
of,3
below,4
beneath,4
directly beneath,1
up to,1
above,4
down,5
overlook,1
overlooking,3
south,4
surrounded,4
in,2
surrounding,3
on top,2
upon,1
across,1
atop,2
neighboring,1
line,1
east of,3
upstream from,1
to the left,1
Facing,1
north of,2
next door to,1
Southeast of,2
west,1
east,2
South­east of,1
adjacent to,1
surmounted,1
Across,1
alongside,1
across from,1
facing,1
West of,1
